Date,SPY
2020-12-18,140536.49394905707
2020-12-21,140034.03666413462
2020-12-22,139798.02000831955
2020-12-23,139923.63432955014
2020-12-24,140467.98385333322
2020-12-28,141674.7723427636
2020-12-29,141404.4507228056
2020-12-30,141606.19985168852
2020-12-31,142325.66816842108
2021-01-04,140388.05540832214
2021-01-05,141354.9462510868
2021-01-06,142200.02888904998
2021-01-07,144312.77292116865
2021-01-08,145135.00638148692
2021-01-11,144156.7096685052
2021-01-12,144187.15859993806
2021-01-13,144575.46982919823
2021-01-14,144069.1689906359
2021-01-15,143018.5186282905
2021-01-19,144141.48520278887
2021-01-20,146136.2021883946
2021-01-21,146269.4537006239
2021-01-22,145751.74699184456
2021-01-25,146326.54544706046
2021-01-26,146098.1410241036
2021-01-27,142527.45473451485
2021-01-28,143753.18645259895
2021-01-29,140875.32566473907
2021-02-01,143220.24279903295
2021-02-02,145245.43367421202
2021-02-03,145359.65460429585
2021-02-04,147011.75871593112
2021-02-05,147590.3757666464
2021-02-08,148656.25059470825
2021-02-09,148557.26660941108
2021-02-10,148492.53767197585
2021-02-11,148732.3729232903
2021-02-12,149467.10314295
2021-02-16,149337.64526807953
2021-02-17,149371.8878368712
2021-02-18,148736.16656064917
2021-02-19,148473.56948518168
2021-02-22,147331.484975046
2021-02-23,147510.42236349484
2021-02-24,149135.8961391967
2021-02-25,145542.37315103336
2021-02-26,144792.405986587
2021-03-01,148302.23185052088
2021-03-02,147145.0102281606
2021-03-03,145195.9416815636
2021-03-04,143399.18018748192
2021-03-05,146037.21820309767
2021-03-08,145310.15013257717
2021-03-09,147384.80804226434
2021-03-10,148302.23185052094
2021-03-11,149805.8599842105
2021-03-12,150007.63407123392
2021-03-15,150902.1962227754
2021-03-16,150711.86544317982
2021-03-17,151225.81595181115
2021-03-18,149025.5312418231
2021-03-19,148749.78122630232
2021-03-22,149937.56409172772
2021-03-23,148757.38098009024
2021-03-24,148001.19923865472
2021-03-25,148833.79032728827
2021-03-26,151232.23019392448
2021-03-29,151155.8582839373
2021-03-30,150754.8433611531
2021-03-31,151365.89351547242
2021-04-01,153000.5144496744
2021-04-05,155196.56875484445
2021-04-06,155104.8600675085
2021-04-07,155284.39645132975
2021-04-08,156021.49769433876
2021-04-09,157155.80774370287
2021-04-12,157213.09915526357
2021-04-13,157679.04268060715
2021-04-14,157140.50840356495
2021-04-15,158828.58967475794
2021-04-16,159359.49923987171
2021-04-19,158576.5374136596
2021-04-20,157415.5096748703
2021-04-21,158904.97406381543
2021-04-22,157453.6831507936
2021-04-23,159160.85739948342
2021-04-26,159493.12512420886
2021-04-27,159458.74528564434
2021-04-28,159412.92213965202
2021-04-29,160428.83077039543
2021-04-30,159374.72370558817
2021-05-03,159718.47217495224
2021-05-04,158733.174703555
2021-05-05,158782.79148690618
2021-05-06,160050.73989967766
2021-05-07,161215.6111921069
2021-05-10,159619.16373382832
2021-05-11,158194.60298930205
2021-05-12,154833.7273079837
2021-05-13,156693.65785571822
2021-05-14,159099.7848296342
2021-05-17,158694.91387413986
2021-05-18,157327.681978385
2021-05-19,156915.17383189194
2021-05-20,158603.28006122547
2021-05-21,158473.43533517694
2021-05-24,160088.95081281182
2021-05-25,159733.72159880918
2021-05-26,160050.73989967766
2021-05-27,160134.74900066364
2021-05-28,160421.18110032644
2021-06-01,160279.89306685008
2021-06-02,160531.94532794846
2021-06-03,159936.15707655635
2021-06-04,161398.91625514656
2021-06-07,161242.35383967275
2021-06-08,161276.70872009674
2021-06-09,161036.087287356
2021-06-10,161784.65679593335
2021-06-11,162052.0208762399
2021-06-14,162414.79992774947
2021-06-15,162116.92452065877
2021-06-16,161211.7801175374
2021-06-17,161158.31978054633
2021-06-18,158984.21615996244
2021-06-21,161260.22386828417
2021-06-22,162122.36539529182
2021-06-23,161926.91819688992
2021-06-24,162884.86154627867
2021-06-25,163463.42868071288
2021-06-28,163792.9759681218
2021-06-29,163881.10316229335
2021-06-30,164019.05928401047
2021-07-01,164927.16122678336
2021-07-02,166187.7719462423
2021-07-06,165885.06713896128
2021-07-07,166471.3213806753
2021-07-08,165114.92131790554
2021-07-09,166877.50263854687
2021-07-12,167475.22514582917
2021-07-13,166904.3201605342
2021-07-14,167153.3524866298
2021-07-15,166582.43502226454
2021-07-16,165275.85140797013
2021-07-19,162835.0575768737
2021-07-20,165168.55636188027
2021-07-21,166505.80105180191
2021-07-22,166854.4787539184
2021-07-23,168571.04974251348
2021-07-26,168984.880670454
2021-07-27,168214.75980753874
2021-07-28,168145.77550714507
2021-07-29,168843.13091137804
2021-07-30,168023.15616277672
2021-08-02,167670.59746980958
2021-08-03,169034.7095979996
2021-08-04,168203.2541047597
2021-08-05,169268.48002116804
2021-08-06,169548.1609438206
2021-08-09,169410.229780244
2021-08-10,169620.9887978541
2021-08-11,170042.44443772317
2021-08-12,170552.05222990422
2021-08-13,170862.43166539478
2021-08-16,171264.73193241566
2021-08-17,170142.07733467378
2021-08-18,168279.86311708184
2021-08-19,168540.38866688628
2021-08-20,169881.51434765858
2021-08-23,171375.88301121566
2021-08-24,171647.9267428695
2021-08-25,172008.09766869483
2021-08-26,170992.71315890233
2021-08-27,172521.5490145158
2021-08-30,173280.22657000323
2021-08-31,173023.49465755766
2021-09-01,173115.45292629884
2021-09-02,173648.08460310844
2021-09-03,173605.91782470208
2021-09-07,172985.1839118615
2021-09-08,172774.43737332162
2021-09-09,172034.95262789307
2021-09-10,170678.51512791254
2021-09-13,171115.33250327082
2021-09-14,170191.90626221942
2021-09-15,171613.45955081325
2021-09-16,171341.4033400892
2021-09-17,169672.35265104173
2021-09-20,166843.16023719325
2021-09-21,166685.611975169
2021-09-22,168311.5973927515
2021-09-23,170356.58007336193
2021-09-24,170637.18444721366
2021-09-27,170149.0032186679
2021-09-28,166720.1914788577
2021-09-29,167000.82081084995
2021-09-30,164959.65672573893
2021-10-01,166920.10618441246
2021-10-04,164767.46656467466
2021-10-05,166481.87867411488
2021-10-06,167173.755766504
2021-10-07,168619.10664208242
2021-10-08,168311.59739275154
2021-10-11,167093.05361913683
2021-10-12,166681.7684215292
2021-10-13,167281.38774749095
2021-10-14,170095.1809886394
2021-10-15,171390.5958350517
2021-10-18,171898.0073108671
2021-10-19,173224.1830654687
2021-10-20,173904.56693414898
2021-10-21,174358.11874272506
2021-10-22,174177.43428443995
2021-10-25,175111.55508870358
2021-10-26,175269.15326700892
2021-10-27,174492.66807826146
2021-10-28,176176.3192795124
2021-10-29,176533.80720523198
2021-11-01,176837.48537999322
2021-11-02,177552.46123143242
2021-11-03,178636.45566951082
2021-11-04,179478.30622827687
2021-11-05,180101.03679235888
2021-11-08,180254.71654260278
2021-11-09,179658.97820749172
2021-11-10,178213.61485284305
2021-11-11,178271.25567837097
2021-11-12,179616.66168024225
2021-11-15,179678.18349662086
2021-11-16,180389.3033153499
2021-11-17,179951.11324226315
2021-11-18,180562.30066635527
2021-11-19,180239.41720246486
2021-11-22,179731.9932475792
2021-11-23,179970.30605232198
2021-11-24,180450.81265265826
2021-11-26,176426.20018238563
2021-11-29,178590.3330258323
2021-11-30,175115.39864234356
2021-12-01,173170.36083544025
2021-12-02,175822.68738650298
2021-12-03,174292.77833084724
2021-12-06,176356.97877965705
2021-12-07,180004.89803508093
2021-12-08,180481.5610817773
2021-12-09,179263.05474537337
2021-12-10,180950.5245421237
2021-12-13,179347.61292545075
2021-12-14,178113.669979136
2021-12-15,180896.70231209512
2021-12-16,179301.46532363168
2021-12-17,177393.19085771247
2021-12-20,175506.89203451996
2021-12-21,178623.70205970592
2021-12-22,180409.73155336455
2021-12-23,181532.2364022633
2021-12-27,184101.30259655562
2021-12-28,183950.86740457918
2021-12-29,184186.1602743192
2021-12-30,183676.97677052696
2021-12-31,183214.07813832664
2022-01-03,184274.89894293342
2022-01-04,184213.1774614307
2022-01-05,180675.86020571543
2022-01-06,180506.14485018828
2022-01-07,179792.52921740737
2022-01-10,179568.80444579778
2022-01-11,181204.38626840973
2022-01-12,181694.25217144052
2022-01-13,179190.76349136108
2022-01-14,179264.02811285376
2022-01-18,176089.37759701573
2022-01-19,174260.91926447532
2022-01-20,172332.20408147128
2022-01-21,168949.19052951288
2022-01-24,169666.64971593363
2022-01-25,167595.22388544367
2022-01-26,167174.8040084062
2022-01-27,166349.27607353943
2022-01-28,170480.58459452947
2022-01-31,173551.14718533427
2022-02-01,174723.83037574583
2022-02-02,176421.09624264977
2022-02-03,172274.30119546788
2022-02-04,173084.39252042383
2022-02-07,172528.9116659694
2022-02-08,173948.45582425146
2022-02-09,176494.41078042347
2022-02-10,173323.57886008476
2022-02-11,169905.84853466487
2022-02-14,169350.39263835095
2022-02-15,172081.46212275012
2022-02-16,172274.30119546788
